Номер видео,Тема/Крючок (0-5 сек),Арабский текст (крупно),Транслитерация/Перевод,Обучающая часть (сценарий),Призыв к действию
31,Да и Нет по-арабски,نعم / لا,"На́ам — да, Ля — нет","Два самых нужных слова: На́ам — да, Ля — нет. Повтори: На́ам. Ля.","Подпишись, дальше — интереснее!"
32,Как спросить «Где?»,أين,Айна — где?,"Айна — где? Айна аль-фундук? — где отель? Повтори: Айна.","Сохрани, пригодится в путешествии!"
33,Что это такое?,ما هذا؟,Ма ха́за — что это?,"Показывай на что угодно и спрашивай: Ма хаза — что это? Повтори: Ма хаза.","Подпишись, учим арабский легко!"
34,Сколько стоит?,بكم؟,Бика́м — почём?,"Главный вопрос на рынке: Бикам? — сколько стоит? Повтори: Бикам.","Сохрани для поездки на восток!"
35,Волшебное слово Тайиб,طيب,Та́йиб — хорошо,"Тайиб — хорошо, ладно, договорились. Арабы говорят его постоянно. Повтори: Тайиб.","Подпишись на канал!"
36,Слово дня: Сердце,قلب,Кальб — сердце,"Сердце по-арабски — Кальб. Говори от сердца. Повтори: Кальб.","Ставь лайк от всего сердца!"
37,Слово дня: Свет,نور,Нур — свет,"Нур — свет. Красивое имя и красивое слово. Повтори: Нур.","Подпишись, впереди много света!"
38,Цвет дня: Красный,أحمر,А́хмар — красный,"Красный по-арабски — Ахмар. Повтори: Ахмар.","Подпишись, соберём все цвета!"
39,Цвет дня: Зелёный,أخضر,А́хдар — зелёный,"Зелёный — цвет оазиса. По-арабски — Ахдар. Повтори: Ахдар.","Ставь лайк, если любишь природу!"
40,Цвет дня: Белый,أبيض,А́бъяд — белый,"Белый по-арабски — Абъяд. Как белые мечети. Повтори: Абъяд.","Подпишись на канал!"
41,Слово дня: Море,بحر,Бахр — море,"Море по-арабски — Бахр. Красное море — Аль-Бахр аль-Ахмар. Повтори: Бахр.","Ставь лайк, если любишь море!"
42,Слово дня: Звезда,نجمة,На́джма — звезда,"Звезда по-арабски — Наджма. Повтори: Наджма.","Подпишись, ты — звезда!"
43,Слово дня: Цветок,وردة,Ва́рда — цветок,"Цветок, роза по-арабски — Варда. Повтори: Варда.","Отправь этот цветок близкому!"
44,Доброе утро!,صباح الخير,Саба́х аль-хайр,"Доброе утро — Сабах аль-хайр. Ответ: Сабах ан-нур — утро света! Повтори: Сабах аль-хайр.","Подпишись и начинай утро с арабского!"
45,Добрый вечер!,مساء الخير,Маса́ аль-хайр,"Добрый вечер — Маса аль-хайр. Ответ: Маса ан-нур. Повтори: Маса аль-хайр.","Подпишись на канал!"
46,Спокойной ночи,تصبح على خير,Ту́сбих аля хайр,"Спокойной ночи — Тусбих аля хайр, буквально: проснись во благе. Повтори: Тусбих аля хайр.","Сохрани и пожелай кому-то доброй ночи!"
47,Как тебя зовут?,ما اسمك؟,Ма и́смук — как тебя зовут?,"Знакомимся: Ма исмук? — как тебя зовут? Повтори: Ма исмук.","Напиши своё имя в комментариях!"
48,Меня зовут…,اسمي,И́сми — меня зовут,"Исми — меня зовут. Исми Марьям — меня зовут Марьям. Повтори: Исми.","Представься по-арабски в комментариях!"
49,Я не понимаю,لا أفهم,Ля а́фхам — я не понимаю,"Честная фраза новичка: Ля афхам — я не понимаю. Повтори: Ля афхам.","Сохрани, выручит в разговоре!"
50,Я учу арабский!,أنا أتعلم العربية,А́на атаа́ллям аль-араби́йя,"Скажи с гордостью: Ана атааллям аль-арабийя — я учу арабский! Повтори медленно.","Подпишись, будем учить вместе!"
51,Халва — это арабское слово!,حلوى,Ха́льва — сладость,"Русское слово халва пришло из арабского: Хальва — сладость. Повтори: Хальва.","Ставь лайк, если сладкоежка!"
52,Сундук — тоже арабский!,صندوق,Сунду́к — ящик,"Слово сундук пришло из арабского: Сундук — ящик, коробка. Повтори: Сундук.","Подпишись, таких слов ещё много!"
53,Слово дня: Жираф,زرافة,Зара́фа — жираф,"И жираф — из арабского! Зарафа — жираф. Повтори: Зарафа.","Подпишись, удивим ещё!"
54,Сахар — арабское слово,سكر,Су́ккар — сахар,"Сахар по-арабски — Суккар. Оттуда и пришло к нам. Повтори: Суккар.","Ставь лайк, если любишь сладкий чай!"
55,Слово дня: Кошка,قطة,Ки́тта — кошка,"Кошка по-арабски — Китта. Повтори: Китта.","Ставь лайк, если у тебя есть кот!"
56,Слово дня: Птица,طائر,Та́ир — птица,"Птица по-арабски — Таир. Сокол — символ Эмиратов. Повтори: Таир.","Подпишись на канал!"
57,Слово дня: Рыба,سمك,Са́мак — рыба,"Рыба по-арабски — Самак. Повтори: Самак.","Сохрани, пригодится в ресторане!"
58,Одну секунду!,لحظة,Ля́хза — момент,"Ляхза — секундочку, момент! Очень ходовое слово. Повтори: Ляхза.","Подпишись, не теряй ни секунды!"
59,Добро пожаловать!,أهلاً وسهلاً,А́хлян ва са́хлян,"Знаменитое гостеприимство: Ахлян ва сахлян — добро пожаловать! Повтори: Ахлян ва сахлян.","Добро пожаловать на канал — подпишись!"
60,До свидания!,مع السلامة,Ма́а с-саля́ма,"Прощаемся красиво: Маа с-саляма — до свидания, с миром. Повтори: Маа с-саляма.","Подпишись, мы не прощаемся!"
